name,id,phone_number,address,mode_of_payment,rating,web_url
 Muskan Saree Showroom,21,,"  Hudco Chauraha, Neemuch, Jawahar Nagar, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Muskan-Saree-Showroom-Jawahar-Nagar/9999P7423-7423-140319182416-W8V2_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Nakoda Sarees,22,,"  Shop No.5, Risala Masjid, Taiyabi School, Neemuch - 458441    ",,0.0,https://www.justdial.com/Neemuch/Nakoda-Sarees/9999P7423-7423-110202185155-E3V1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Pihar Saree,23,,"  Veer Park Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Pihar-Saree-Neemuch-HO/9999P7423-7423-140320135038-P9W4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Santoshi Saree Center,24,,"  Vivek Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Santoshi-Saree-Center-Neemuch-HO/9999P7423-7423-140404102622-I2S3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Bherulal Mangilal Jain,25,,"  Vivek Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Bherulal-Mangilal-Jain-Neemuch-HO/9999P7423-7423-140404100619-A5W3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Gharana Saree Showroom,26,,"  9, Raj Mandir Complex, CRPF Road, Neemuch HO, Neemuch - 458441    ",Cash,0.0,https://www.justdial.com/Neemuch/Gharana-Saree-Showroom-Neemuch-HO/9999P7423-7423-110125233533-Z9F7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Muskan Saree Centre,27,,"  Shop No. 13, Ambedkar Marg Main Road, Neemuch HO, Neemuch - 458441, Vikas Nagar Chauraha  ",,0.0,https://www.justdial.com/Neemuch/Muskan-Saree-Centre-Vikas-Nagar-Chauraha-Neemuch-HO/9999P7423-7423-110410132701-E9Y4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Muskan Collection,28,,"  Kamal Chowk, Neemuch, Neemuch HO, Neemuch - 458441  ",,0.0,https://www.justdial.com/neemuch/Muskan-Collection-Neemuch-HO/9999P7423-7423-140319133654-K8Q9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Krishna Collection,29,,"  Dana Gali, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Krishna-Collection-Neemuch-HO/9999P7423-7423-140404162405-P5D2_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Shreeji Solutions,30,,"  No.49, Tegore Marg, Neemuch - 458441  ",,0.0,https://www.justdial.com/neemuch/Shreeji-Solutions/9999P7423-7423-190928005951-A2V7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Kota Saree Emporium,31,,"  Tilak Marg, Satya Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Kota-Saree-Emporium-Neemuch-HO/9999P7423-7423-140404152451-M5N4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Gangor Sarees,32,,"  Tilak Marg, Satya Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Gangor-Sarees-Neemuch-HO/9999P7423-7423-140404152725-J7V5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Rangoli Sarees,33,,"  Ahinsa Path, Bhawani Market, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Rangoli-Sarees-Neemuch-HO/9999P7423-7423-140319164426-M7N8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Saloni Sarees,34,,"  Ahinsa Path, Bhawani Market, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Saloni-Sarees-Neemuch-HO/9999P7423-7423-140319164621-W2M9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 New Fashion Saree,35,,"  Private Bus Stand Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/New-Fashion-Saree-Neemuch-HO/9999P7423-7423-140224154437-A2P7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Kumkum Saree & Matching Center,36,,"  Neemuch, Indira Nagar, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Kumkum-Saree-Matching-Center-Indira-Nagar/9999P7423-7423-140312113448-V6T2_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Kumkum Saree Centre,37,,"  L-4 Indira Nagar Ext., Mangalik Bhawan Road, Indira Nagar, Neemuch - 458441, Opp.shri Guru Kripa Rajputi Poshakhen  ",,0.0,https://www.justdial.com/Neemuch/Kumkum-Saree-Centre-Opp-shri-Guru-Kripa-Rajputi-Poshakhen-Indira-Nagar/9999P7423-7423-110406113810-S1I9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Ambika Saree Centre,38,,"  Station Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Ambika-Saree-Centre-Neemuch-HO/9999P7423-7423-140320094454-U1Q6_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Khandelwal Cutpiece Centre,39,,"  Fateh Chowk, Baghana Neemuch, Neemuch, Baghana Neemuch, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Khandelwal-Cutpiece-Centre-Baghana-Neemuch/9999P7423-7423-140320095253-Q8R4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Govind Jewelery & Saree Centre,40,,"  Moolchand Road, Neemuch, Neemuch - 458441  ",,0.0,https://www.justdial.com/Neemuch/Govind-Jewelery-Saree-Centre/9999P7423-7423-110123002314-X3U7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 JAY MA Ready Made Saree,41,,"  Taigor Marg, Neemuch - 458441  ",,0.0,https://www.justdial.com/Neemuch/JAY-MA-Ready-Made-Saree/9999P7423-7423-110126021301-S6J8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Manjula Saree,42,,"  Veer Park Road, Neemuch - 458441, Opp. Maheshwari Bhawan  ",,0.0,https://www.justdial.com/Neemuch/Manjula-Saree-Opp-Maheshwari-Bhawan/9999P7423-7423-110202123502-U6N4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
